Term,Course_ID,Course_Title,Instructor,SI_Leader,Student_ID,Mid-Term_Grade,Final_Grade,Visits
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert","Walden, Troy",N00774165,S,A,1
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert","Walden, Troy",N00896470,S,D,1
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N00942382,U,W,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N00964075,S,B+,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N00975284,S,B+,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N00975458,S,C,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N00976810,U,F,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert","Walden, Troy",N01036484,,W,1
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert","Walden, Troy",N01040092,U,C+,1
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01040699,U,F,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01040912,S,B-,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01059800,U,F,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01079648,U,A-,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01107935,U,C,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01114109,U,W,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01126640,S,C+,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01179758,S,F,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01182460,,W,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01183082,U,F,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01232787,S,A,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01233150,U,C,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01236891,U,F,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01241110,U,W,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01245969,U,C,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01254933,U,F,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01304992,S,F,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01308340,U,F,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01319157,S,D,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01357995,S,D,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01358157,U,W,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01358553,S,B,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01361029,S,C,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01362101,S,B,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01363492,U,F,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01364162,S,B-,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01364941,S,F,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01365261,S,C,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01365538,S,A,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01365540,S,F,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01366186,S,C,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01366635,S,C,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01367259,S,C+,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01367648,S,D,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert","Walden, Troy",N01367758,U,D,1
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01370652,U,F,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01372849,,W,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01384444,S,A,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01384806,S,F,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert","Walden, Troy",N01391436,S,C+,7
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01394759,U,F,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert","Walden, Troy",N01395964,S,F,2
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01397738,U,W,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01398812,U,F,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert","Walden, Troy",N01398965,S,B-,4
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01400861,S,C+,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01400942,U,W,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01402432,U,D,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01402653,S,C,
Spring 2021,ACG2021,Prin of Financial Accounting,"Gill, Hubert",,N01403749,U,F,
